porazki: 71%    remisy: 29%     wygrane(niemozliwe): 0
porazki: 70%    remisy: 30%     wygrane(niemozliwe): 0
porazki: 62%    remisy: 38%     wygrane(niemozliwe): 0
porazki: 59%    remisy: 41%     wygrane(niemozliwe): 0
porazki: 65%    remisy: 35%     wygrane(niemozliwe): 0
porazki: 65%    remisy: 35%     wygrane(niemozliwe): 0
porazki: 55%    remisy: 45%     wygrane(niemozliwe): 0
porazki: 57%    remisy: 43%     wygrane(niemozliwe): 0
porazki: 49%    remisy: 51%     wygrane(niemozliwe): 0
porazki: 42%    remisy: 58%     wygrane(niemozliwe): 0
porazki: 35%    remisy: 65%     wygrane(niemozliwe): 0
porazki: 34%    remisy: 66%     wygrane(niemozliwe): 0
porazki: 34%    remisy: 66%     wygrane(niemozliwe): 0
porazki: 33%    remisy: 67%     wygrane(niemozliwe): 0
porazki: 29%    remisy: 71%     wygrane(niemozliwe): 0
porazki: 27%    remisy: 73%     wygrane(niemozliwe): 0
porazki: 26%    remisy: 74%     wygrane(niemozliwe): 0
porazki: 25%    remisy: 75%     wygrane(niemozliwe): 0
porazki: 25%    remisy: 75%     wygrane(niemozliwe): 0
porazki: 20%    remisy: 80%     wygrane(niemozliwe): 0
porazki: 23%    remisy: 77%     wygrane(niemozliwe): 0
porazki: 17%    remisy: 83%     wygrane(niemozliwe): 0
porazki: 13%    remisy: 87%     wygrane(niemozliwe): 0
porazki: 10%    remisy: 90%     wygrane(niemozliwe): 0
porazki: 8%    remisy: 92%     wygrane(niemozliwe): 0
porazki: 11%    remisy: 89%     wygrane(niemozliwe): 0
porazki: 12%    remisy: 88%     wygrane(niemozliwe): 0
porazki: 14%    remisy: 86%     wygrane(niemozliwe): 0
porazki: 10%    remisy: 90%     wygrane(niemozliwe): 0
porazki: 5%    remisy: 95%     wygrane(niemozliwe): 0
porazki: 8%    remisy: 92%     wygrane(niemozliwe): 0
porazki: 14%    remisy: 86%     wygrane(niemozliwe): 0
porazki: 8%    remisy: 92%     wygrane(niemozliwe): 0
porazki: 12%    remisy: 88%     wygrane(niemozliwe): 0
porazki: 13%    remisy: 87%     wygrane(niemozliwe): 0
porazki: 7%    remisy: 93%     wygrane(niemozliwe): 0
porazki: 8%    remisy: 92%     wygrane(niemozliwe): 0
porazki: 13%    remisy: 87%     wygrane(niemozliwe): 0
porazki: 13%    remisy: 87%     wygrane(niemozliwe): 0
porazki: 16%    remisy: 84%     wygrane(niemozliwe): 0
porazki: 10%    remisy: 90%     wygrane(niemozliwe): 0
porazki: 6%    remisy: 94%     wygrane(niemozliwe): 0
porazki: 11%    remisy: 89%     wygrane(niemozliwe): 0
porazki: 13%    remisy: 87%     wygrane(niemozliwe): 0
porazki: 10%    remisy: 90%     wygrane(niemozliwe): 0
porazki: 10%    remisy: 90%     wygrane(niemozliwe): 0
porazki: 6%    remisy: 94%     wygrane(niemozliwe): 0
porazki: 8%    remisy: 92%     wygrane(niemozliwe): 0
porazki: 17%    remisy: 83%     wygrane(niemozliwe): 0
porazki: 10%    remisy: 90%     wygrane(niemozliwe): 0
porazki: 11%    remisy: 89%     wygrane(niemozliwe): 0
porazki: 4%    remisy: 96%     wygrane(niemozliwe): 0
porazki: 16%    remisy: 84%     wygrane(niemozliwe): 0
porazki: 18%    remisy: 82%     wygrane(niemozliwe): 0
